survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
1,1,female,38.0,1,0,71.2833,C,First,woman,False,C,Cherbourg,yes,False
1,1,female,35.0,1,0,53.1,S,First,woman,False,C,Southampton,yes,False
1,1,female,58.0,0,0,26.55,S,First,woman,False,C,Southampton,yes,True
1,1,female,,1,0,146.5208,C,First,woman,False,B,Cherbourg,yes,False
1,1,female,49.0,1,0,76.7292,C,First,woman,False,D,Cherbourg,yes,False
1,1,female,38.0,0,0,80.0,,First,woman,False,B,,yes,True
1,1,female,23.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False
1,1,female,19.0,0,2,26.2833,S,First,woman,False,D,Southampton,yes,False
1,1,female,22.0,1,0,66.6,S,First,woman,False,C,Southampton,yes,False
1,1,female,,0,1,55.0,S,First,woman,False,E,Southampton,yes,False
0,1,female,50.0,0,0,28.7125,C,First,woman,False,C,Cherbourg,no,True
1,1,female,44.0,0,0,27.7208,C,First,woman,False,B,Cherbourg,yes,True
1,1,female,58.0,0,0,146.5208,C,First,woman,False,B,Cherbourg,yes,True
1,1,female,31.0,1,0,113.275,C,First,woman,False,D,Cherbourg,yes,False
1,1,female,32.0,0,0,76.2917,C,First,woman,False,D,Cherbourg,yes,True
1,1,female,35.0,1,0,83.475,S,First,woman,False,C,Southampton,yes,False
1,1,female,,0,0,79.2,C,First,woman,False,,Cherbourg,yes,True
1,1,female,30.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True
1,1,female,35.0,0,0,512.3292,C,First,woman,False,,Cherbourg,yes,True
1,1,female,58.0,0,1,153.4625,S,First,woman,False,C,Southampton,yes,False
1,1,female,35.0,0,0,135.6333,S,First,woman,False,C,Southampton,yes,True
1,1,female,63.0,1,0,77.9583,S,First,woman,False,D,Southampton,yes,False
1,1,female,26.0,0,0,78.85,S,First,woman,False,,Southampton,yes,True
1,1,female,19.0,1,0,91.0792,C,First,woman,False,B,Cherbourg,yes,False
0,1,female,2.0,1,2,151.55,S,First,child,False,C,Southampton,no,False
1,1,female,50.0,0,1,247.5208,C,First,woman,False,B,Cherbourg,yes,False
1,1,female,,0,0,110.8833,C,First,woman,False,,Cherbourg,yes,True
1,1,female,17.0,1,0,108.9,C,First,woman,False,C,Cherbourg,yes,False
1,1,female,30.0,0,0,56.9292,C,First,woman,False,E,Cherbourg,yes,True
1,1,female,24.0,0,0,83.1583,C,First,woman,False,C,Cherbourg,yes,True
1,1,female,18.0,2,2,262.375,C,First,woman,False,B,Cherbourg,yes,False
1,1,female,31.0,0,2,164.8667,S,First,woman,False,C,Southampton,yes,False
1,1,female,40.0,1,1,134.5,C,First,woman,False,E,Cherbourg,yes,False
1,1,female,36.0,0,0,135.6333,C,First,woman,False,C,Cherbourg,yes,True
1,1,female,16.0,0,1,57.9792,C,First,woman,False,B,Cherbourg,yes,False
1,1,female,,1,0,133.65,S,First,woman,False,,Southampton,yes,False
1,1,female,41.0,0,0,134.5,C,First,woman,False,E,Cherbourg,yes,True
1,1,female,24.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False
1,1,female,22.0,0,1,55.0,S,First,woman,False,E,Southampton,yes,False
1,1,female,60.0,1,0,75.25,C,First,woman,False,D,Cherbourg,yes,False
1,1,female,24.0,0,0,69.3,C,First,woman,False,B,Cherbourg,yes,True
1,1,female,,1,0,82.1708,C,First,woman,False,,Cherbourg,yes,False
1,1,female,42.0,0,0,227.525,C,First,woman,False,,Cherbourg,yes,True
1,1,female,35.0,1,0,52.0,S,First,woman,False,,Southampton,yes,False
1,1,female,23.0,1,0,113.275,C,First,woman,False,D,Cherbourg,yes,False
1,1,female,33.0,1,0,90.0,Q,First,woman,False,C,Queenstown,yes,False
1,1,female,14.0,1,2,120.0,S,First,child,False,B,Southampton,yes,False
1,1,female,,1,0,51.8625,S,First,woman,False,D,Southampton,yes,False
1,1,female,35.0,1,0,90.0,S,First,woman,False,C,Southampton,yes,False
1,1,female,54.0,1,0,78.2667,C,First,woman,False,D,Cherbourg,yes,False
0,1,female,25.0,1,2,151.55,S,First,woman,False,C,Southampton,no,False
1,1,female,16.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True
1,1,female,54.0,1,0,59.4,C,First,woman,False,,Cherbourg,yes,False
1,1,female,30.0,0,0,93.5,S,First,woman,False,B,Southampton,yes,True
1,1,female,44.0,0,1,57.9792,C,First,woman,False,B,Cherbourg,yes,False
1,1,female,30.0,0,0,106.425,C,First,woman,False,,Cherbourg,yes,True
1,1,female,22.0,0,2,49.5,C,First,woman,False,B,Cherbourg,yes,False
1,1,female,36.0,0,2,71.0,S,First,woman,False,B,Southampton,yes,False
1,1,female,48.0,1,0,39.6,C,First,woman,False,A,Cherbourg,yes,False
1,1,female,39.0,1,1,79.65,S,First,woman,False,E,Southampton,yes,False
1,1,female,53.0,2,0,51.4792,S,First,woman,False,C,Southampton,yes,False
1,1,female,39.0,1,0,55.9,S,First,woman,False,E,Southampton,yes,False
1,1,female,39.0,1,1,110.8833,C,First,woman,False,C,Cherbourg,yes,False
1,1,female,18.0,0,2,79.65,S,First,woman,False,E,Southampton,yes,False
1,1,female,52.0,1,0,78.2667,C,First,woman,False,D,Cherbourg,yes,False
1,1,female,40.0,0,0,153.4625,S,First,woman,False,C,Southampton,yes,True
1,1,female,21.0,0,0,77.9583,S,First,woman,False,D,Southampton,yes,True
1,1,female,24.0,0,0,69.3,C,First,woman,False,B,Cherbourg,yes,True
1,1,female,,1,0,52.0,S,First,woman,False,C,Southampton,yes,False
1,1,female,15.0,0,1,211.3375,S,First,child,False,B,Southampton,yes,False
1,1,female,18.0,1,0,227.525,C,First,woman,False,C,Cherbourg,yes,False
1,1,female,22.0,0,0,151.55,S,First,woman,False,,Southampton,yes,True
1,1,female,24.0,0,0,49.5042,C,First,woman,False,C,Cherbourg,yes,True
1,1,female,38.0,0,0,227.525,C,First,woman,False,C,Cherbourg,yes,True
1,1,female,29.0,0,0,211.3375,S,First,woman,False,B,Southampton,yes,True
1,1,female,21.0,2,2,262.375,C,First,woman,False,B,Cherbourg,yes,False
1,1,female,33.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True
1,1,female,36.0,1,2,120.0,S,First,woman,False,B,Southampton,yes,False
1,1,female,51.0,1,0,77.9583,S,First,woman,False,D,Southampton,yes,False
1,1,female,43.0,0,1,211.3375,S,First,woman,False,B,Southampton,yes,False
1,1,female,17.0,1,0,57.0,S,First,woman,False,B,Southampton,yes,False
1,1,female,49.0,0,0,25.9292,S,First,woman,False,D,Southampton,yes,True
1,1,female,33.0,1,0,53.1,S,First,woman,False,E,Southampton,yes,False
1,1,female,52.0,1,1,93.5,S,First,woman,False,B,Southampton,yes,False
1,1,female,62.0,0,0,80.0,,First,woman,False,B,,yes,True
1,1,female,39.0,1,1,83.1583,C,First,woman,False,E,Cherbourg,yes,False
1,1,female,30.0,0,0,31.0,C,First,woman,False,,Cherbourg,yes,True
1,1,female,,1,0,89.1042,C,First,woman,False,C,Cherbourg,yes,False
1,1,female,16.0,0,1,39.4,S,First,woman,False,D,Southampton,yes,False
1,1,female,45.0,1,1,164.8667,S,First,woman,False,,Southampton,yes,False
1,1,female,48.0,0,0,25.9292,S,First,woman,False,D,Southampton,yes,True
1,1,female,47.0,1,1,52.5542,S,First,woman,False,D,Southampton,yes,False
1,1,female,56.0,0,1,83.1583,C,First,woman,False,C,Cherbourg,yes,False
1,1,female,19.0,0,0,30.0,S,First,woman,False,B,Southampton,yes,True
